,CountryOfExploitation,citizenship,majorityStatus,gender,yearOfRegistration,isForcedLabour,isSexualExploit,isOtherExploit,Cases,"Adolescent fertility rate (births per 1,000 women ages 15-19)_expl_country","Age at first marriage, female_expl_country","Age at first marriage, male_expl_country","Mortality rate, under-5, male (per 1,000)_expl_country","Mortality rate, under-5, female (per 1,000)_expl_country","Mortality rate, under-5 (per 1,000)_expl_country","Mortality rate, neonatal (per 1,000 live births)_expl_country","Mortality rate, adult, male (per 1,000 male adults)_expl_country","Mortality rate, adult, female (per 1,000 female adults)_expl_country",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)_expl_country,"Unemployment, female (% of female labor force)_expl_country","Unemployment, male (% of male labor force)_expl_country","Unemployment, total (% of total labor force)_expl_country","Adolescent fertility rate (births per 1,000 women ages 15-19)_cit_country","Age at first marriage, female_cit_country","Age at first marriage, male_cit_country","Mortality rate, under-5, male (per 1,000)_cit_country","Mortality rate, under-5, female (per 1,000)_cit_country","Mortality rate, under-5 (per 1,000)_cit_country","Mortality rate, neonatal (per 1,000 live births)_cit_country","Mortality rate, adult, male (per 1,000 male adults)_cit_country","Mortality rate, adult, female (per 1,000 female adults)_cit_country",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)_cit_country,"Unemployment, female (% of female labor force)_cit_country","Unemployment, male (% of male labor force)_cit_country","Unemployment, total (% of total labor force)_cit_country"
87,LB,PH,unknown,Female,2016,0.0,0.0,0.0,18,14.8948,..,..,8.4,7.6,8,4.6,68.69,49.496,..,10.3039999008179,5.02799987792969,6.30900001525879,54.779,..,..,32.3,26.1,29.3,14.3,260.571,135.647,..,2.86999988555908,2.6029999256134,2.70799994468689
88,LY,KE,Adult,Female,2017,22.0,22.0,0.0,11,5.769,..,..,13.6,11,12.4,6.9,169.882,94.983,..,25.0030002593994,15.326000213623,18.6270008087158,75.078,..,..,50.3,42.4,46.4,21.9,252.222,174.376,..,2.85899996757507,2.53900003433228,2.6949999332428
89,MD,MD,Adult,Female,2004,0.0,77.0,0.0,128,29.4386,23.7,27.1,23.4,18.6,21.1,14.6,313.859,152.048,..,6.32499980926514,10.0880002975464,8.17000007629395,29.4386,23.7,27.1,23.4,18.6,21.1,14.6,313.859,152.048,..,6.32499980926514,10.0880002975464,8.17000007629395
90,MD,MD,Adult,Female,2005,0.0,0.0,0.0,182,28.6804,21.9,25.4,21.9,17.4,19.7,13.8,311.74,151.016,6.1,5.96700000762939,8.64099979400635,7.28999996185303,28.6804,21.9,25.4,21.9,17.4,19.7,13.8,311.74,151.016,6.1,5.96700000762939,8.64099979400635,7.28999996185303
91,MD,MD,Adult,Female,2006,0.0,0.0,0.0,183,27.9222,..,..,20.8,16.6,18.7,13.3,309.62,149.985,..,5.79699993133545,8.96700000762939,7.38000011444092,27.9222,..,..,20.8,16.6,18.7,13.3,309.62,149.985,..,5.79699993133545,8.96700000762939,7.38000011444092
92,MD,MD,Adult,Female,2007,0.0,0.0,0.0,178,27.164,..,..,20.1,16,18.1,13.1,307.5,148.953,..,3.87700009346008,6.24100017547607,5.07000017166138,27.164,..,..,20.1,16,18.1,13.1,307.5,148.953,..,3.87700009346008,6.24100017547607,5.07000017166138
93,MD,MD,Adult,Female,2008,0.0,0.0,0.0,143,26.8846,..,..,19.6,15.6,17.7,12.9,296.118,139.596,..,3.36899995803833,4.56599998474121,3.98000001907349,26.8846,..,..,19.6,15.6,17.7,12.9,296.118,139.596,..,3.36899995803833,4.56599998474121,3.98000001907349
94,MD,MD,Adult,Female,2009,0.0,0.0,0.0,136,26.6052,..,..,19.3,15.3,17.3,12.8,284.737,130.238,..,4.88500022888184,7.82200002670288,6.40000009536743,26.6052,..,..,19.3,15.3,17.3,12.8,284.737,130.238,..,4.88500022888184,7.82200002670288,6.40000009536743
95,MD,MD,Adult,Female,2010,0.0,0.0,0.0,13,26.3258,..,..,18.9,15.1,17.1,12.7,273.355,120.88,..,5.72900009155273,9.06900024414063,7.44600009918213,26.3258,..,..,18.9,15.1,17.1,12.7,273.355,120.88,..,5.72900009155273,9.06900024414063,7.44600009918213
96,MD,MD,Adult,Female,2011,0.0,0.0,0.0,37,26.0464,..,..,18.6,14.9,16.8,12.5,261.973,111.523,..,5.58699989318848,7.71799993515015,6.68200016021729,26.0464,..,..,18.6,14.9,16.8,12.5,261.973,111.523,..,5.58699989318848,7.71799993515015,6.68200016021729
97,MD,MD,Adult,Female,2013,0.0,0.0,0.0,185,25.0966,..,..,18,14.3,16.2,12,248.316,101.039,..,4.1399998664856,6.02299976348877,5.10400009155273,25.0966,..,..,18,14.3,16.2,12,248.316,101.039,..,4.1399998664856,6.02299976348877,5.10400009155273
98,MD,MD,Adult,Female,2014,0.0,0.0,0.0,324,24.4262,25,28.7,17.7,14.1,15.9,11.8,246.042,99.914,..,3.05999994277954,4.61299991607666,3.85599994659424,24.4262,25,28.7,17.7,14.1,15.9,11.8,246.042,99.914,..,3.05999994277954,4.61299991607666,3.85599994659424
99,MD,MD,Adult,Female,2015,0.0,0.0,0.0,385,23.7558,..,..,17.3,13.8,15.6,11.6,243.767,98.788,..,2.92000007629395,4.44500017166138,3.69400000572205,23.7558,..,..,17.3,13.8,15.6,11.6,243.767,98.788,..,2.92000007629395,4.44500017166138,3.69400000572205
100,MD,MD,Adult,Female,2016,0.0,0.0,0.0,267,23.0854,..,..,16.9,13.5,15.3,11.4,241.492,97.662,..,2.88000011444092,5.44799995422363,4.18499994277954,23.0854,..,..,16.9,13.5,15.3,11.4,241.492,97.662,..,2.88000011444092,5.44799995422363,4.18499994277954
101,MD,MD,Adult,Female,2017,0.0,0.0,0.0,210,22.415,..,..,16.6,13.3,15,11.1,239.217,96.537,..,3.33899998664856,4.82299995422363,4.09800004959106,22.415,..,..,16.6,13.3,15,11.1,239.217,96.537,..,3.33899998664856,4.82299995422363,4.09800004959106
